ENTIDAD|NOMBRE ENTIDAD|DISTRITO|MUNICIPIO|NOMBRE MUNICIPIO|SECCION|TIPO
4|CAMPECHE|1|1|CAMPECHE|1|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|2|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|3|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|5|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|6|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|7|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|8|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|9|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|10|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|11|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|12|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|13|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|14|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|15|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|16|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|17|MIXTO(A)
4|CAMPECHE|1|1|CAMPECHE|18|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|19|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|20|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|21|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|22|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|23|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|24|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|25|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|26|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|27|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|28|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|29|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|30|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|31|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|32|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|33|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|34|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|35|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|36|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|37|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|38|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|39|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|40|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|41|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|42|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|43|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|44|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|45|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|46|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|47|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|48|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|49|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|50|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|51|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|52|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|53|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|54|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|55|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|56|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|57|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|58|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|59|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|60|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|61|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|62|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|63|URBANO(A)
4|CAMPECHE|1|1|CAMPECHE|64|URBANO(A)
